Date	Open	High	Low	Close 	 Adj Close 	 Volume
Jul 30, 2024	186.10	188.13	185.15	186.86	186.86	4,789,000
Jul 29, 2024	186.70	187.08	183.83	185.43	185.43	3,608,600
Jul 26, 2024	185.86	189.59	184.63	186.89	186.89	6,272,000
Jul 25, 2024	179.45	188.35	179.45	184.35	184.35	6,128,000
Jul 24, 2024	185.62	187.00	179.97	180.07	180.07	5,109,100
Jul 23, 2024	179.10	187.04	179.00	186.48	186.48	7,614,300
Jul 22, 2024	181.36	182.72	177.23	178.90	178.90	4,883,500
Jul 19, 2024	181.40	181.50	177.39	179.67	179.67	5,121,300
Jul 18, 2024	184.24	187.37	179.88	180.23	180.23	5,354,800
Jul 17, 2024	185.32	188.45	183.79	184.84	184.84	4,899,600
Jul 16, 2024	180.05	187.44	179.20	186.05	186.05	8,546,400
Jul 15, 2024	183.50	183.72	178.88	179.11	179.11	5,189,000
Jul 12, 2024	183.73	184.49	180.45	182.31	182.31	5,129,300
Jul 11, 2024	184.17	186.10	183.40	183.91	183.91	4,840,600
Jul 10, 2024	183.60	184.90	182.80	183.73	183.73	3,583,200
Jul 9, 2024	185.11	186.25	183.15	183.24	183.24	3,942,900
Jul 8, 2024	186.94	191.50	182.28	185.84	185.84	9,878,100
Jul 5, 2024	184.00	185.38	182.23	184.83	184.83	3,290,400
Jul 3, 2024	185.05	185.42	182.85	184.31	184.31	2,764,800
Jul 2, 2024	186.34	189.23	184.52	185.42	185.42	4,110,500
Jul 1, 2024	182.20	189.47	182.20	186.70	186.70	9,056,700
Jun 28, 2024	182.60	184.44	180.65	182.01	182.01	5,899,900
Jun 27, 2024	178.91	183.68	178.01	182.51	182.51	8,199,000
Jun 26, 2024	174.96	178.82	173.76	178.50	178.50	6,553,900
Jun 25, 2024	176.29	178.76	173.29	175.10	175.10	7,695,100
Jun 24, 2024	176.15	180.60	175.59	179.10	179.10	7,388,300
Jun 21, 2024	176.83	178.41	175.66	176.56	176.56	8,635,100
Jun 20, 2024	173.02	176.65	172.05	176.30	176.30	5,479,300
Jun 18, 2024	177.61	178.00	173.82	174.99	174.99	6,179,900
Jun 17, 2024	176.75	180.45	176.32	178.39	178.39	4,790,000
Jun 14, 2024	178.90	180.29	175.22	177.27	177.27	5,106,000
Jun 13, 2024	181.74	183.87	178.99	180.70	180.70	4,201,000
Jun 12, 2024	186.50	187.16	181.71	182.67	182.67	5,245,200
Jun 11, 2024	189.32	189.32	182.75	185.50	185.50	5,010,100
Jun 10, 2024	190.00	192.63	189.60	190.12	190.12	4,388,300
Jun 7, 2024	190.46	191.98	189.66	190.24	190.24	3,374,500
Jun 6, 2024	188.83	192.10	187.35	191.42	191.42	5,942,200
Jun 5, 2024	187.90	190.34	186.53	189.85	189.85	5,944,000
Jun 4, 2024	185.05	188.84	183.25	188.62	188.62	7,176,800
Jun 3, 2024	178.09	186.01	178.02	184.57	184.57	8,951,600
May 31, 2024	173.12	177.90	172.21	177.61	177.61	5,774,500
May 30, 2024	172.64	174.68	171.55	172.75	172.75	3,927,900
May 29, 2024	173.61	175.83	171.61	171.65	171.65	3,666,400
May 28, 2024	174.73	178.49	173.38	175.08	175.08	5,274,400
May 24, 2024	173.20	174.86	169.57	174.52	174.52	9,485,000
May 23, 2024	185.79	186.00	171.61	172.21	172.21	17,116,000
May 22, 2024	184.60	186.82	183.41	186.28	186.28	3,785,400
May 21, 2024	185.30	186.39	183.11	184.78	184.78	4,349,100
May 20, 2024	184.65	188.63	184.01	186.61	186.61	6,228,600
May 17, 2024	183.25	185.38	181.22	184.95	184.95	5,562,400
May 16, 2024	177.60	183.76	177.25	182.96	182.96	6,993,200
May 15, 2024	180.14	180.67	176.17	176.99	176.99	5,858,900
May 14, 2024	180.23	183.66	179.63	180.76	180.76	4,686,500
May 13, 2024	179.04	180.75	178.07	178.44	178.44	3,105,200
May 10, 2024	181.25	181.88	177.92	178.51	178.51	3,715,500
May 9, 2024	179.55	181.75	179.31	181.25	181.25	5,107,400
May 8, 2024	175.95	181.66	175.95	180.35	180.35	4,956,800
May 7, 2024	177.22	178.35	176.13	176.71	176.71	5,097,500
May 6, 2024	180.88	183.98	174.71	178.35	178.35	11,913,400
May 3, 2024	179.59	180.49	177.90	179.79	179.79	5,416,300
May 2, 2024	173.00	178.90	172.25	178.85	178.85	10,223,700
May 1, 2024	167.50	173.86	167.50	171.46	171.46	6,191,900
Apr 30, 2024	171.49	174.07	167.76	167.84	167.84	8,248,800
Apr 29, 2024	167.90	173.81	167.55	173.49	173.49	7,788,600
Apr 26, 2024	165.98	168.65	164.93	167.22	167.22	7,208,100
Apr 25, 2024	163.59	168.13	159.70	166.81	166.81	12,504,700
Apr 24, 2024	176.50	177.64	162.74	164.33	164.33	20,889,300
Apr 23, 2024	170.95	171.18	168.43	169.18	169.18	7,632,100
Apr 22, 2024	169.82	172.15	168.16	170.48	170.48	4,724,900
Apr 19, 2024	170.00	172.00	169.65	169.82	169.82	4,688,600
Apr 18, 2024	169.48	172.04	169.10	170.23	170.23	5,123,000
Apr 17, 2024	170.00	170.85	168.12	170.21	170.21	8,162,600
Apr 16, 2024	168.14	170.64	167.75	170.55	170.55	7,986,700
Apr 15, 2024	170.74	171.18	167.53	167.82	167.82	6,490,700
Apr 12, 2024	172.20	173.24	169.37	169.55	169.55	7,548,900
Apr 11, 2024	174.47	174.70	171.38	173.36	173.36	7,625,100
Apr 10, 2024	176.31	178.10	172.44	174.63	174.63	9,727,700
Apr 9, 2024	181.51	183.05	176.57	178.12	178.12	11,439,900
Apr 8, 2024	182.14	184.55	181.49	181.56	181.56	6,176,400
Apr 5, 2024	184.16	184.66	182.44	183.14	183.14	4,126,900
Apr 4, 2024	185.93	188.00	182.81	183.29	183.29	6,513,800
Apr 3, 2024	187.68	188.78	184.27	184.92	184.92	6,609,300
Apr 2, 2024	189.00	189.23	187.13	188.04	188.04	4,477,200
Apr 1, 2024	192.24	192.87	189.03	189.50	189.50	5,107,800
Mar 28, 2024	192.00	193.38	191.20	192.99	192.99	4,471,700
Mar 27, 2024	188.84	191.99	188.33	191.95	191.95	7,372,800
Mar 26, 2024	192.02	192.03	186.81	187.50	187.50	8,972,200
Mar 25, 2024	196.01	196.18	189.50	191.41	191.41	12,953,000
Mar 22, 2024	188.75	192.94	188.19	188.85	188.85	7,822,800
Mar 21, 2024	189.79	190.38	187.55	187.70	187.70	7,436,400
Mar 20, 2024	178.99	188.30	178.60	187.78	187.78	12,770,000
Mar 19, 2024	180.11	181.86	179.74	181.14	181.14	7,648,000
Mar 18, 2024	180.26	181.19	177.52	179.84	179.84	9,497,800
Mar 15, 2024	180.99	184.18	180.91	182.53	182.53	10,708,600
Mar 14, 2024	182.00	184.94	180.52	181.15	181.15	10,016,200
Mar 13, 2024	183.16	185.97	182.08	182.35	182.35	10,196,100
Mar 12, 2024	188.24	188.58	183.16	184.24	184.24	18,714,800
Mar 11, 2024	194.21	196.07	189.80	192.49	192.49	14,160,600
Mar 8, 2024	201.84	203.80	198.46	198.49	198.49	8,993,600
Mar 7, 2024	200.70	203.73	200.57	203.03	203.03	5,965,300
Mar 6, 2024	201.77	202.35	199.86	201.00	201.00	4,736,600
Mar 5, 2024	199.49	202.85	198.70	201.14	201.14	5,034,700
Mar 4, 2024	199.50	201.54	196.92	200.54	200.54	7,213,900
Mar 1, 2024	204.00	205.06	199.01	200.00	200.00	11,591,000
Feb 29, 2024	206.44	206.62	202.70	203.72	203.72	6,670,300
Feb 28, 2024	201.14	208.10	200.18	207.00	207.00	9,654,700
Feb 27, 2024	200.93	202.00	200.04	201.40	201.40	3,932,900
Feb 26, 2024	201.01	202.75	200.00	200.54	200.54	4,807,200
Feb 23, 2024	200.99	202.07	197.15	200.83	200.83	7,433,400
Feb 22, 2024	202.00	204.10	200.40	201.50	201.50	6,513,500
Feb 21, 2024	202.90	203.63	201.21	201.57	201.57	4,179,800
Feb 20, 2024	203.55	205.58	202.71	203.37	203.37	5,248,400
Feb 16, 2024	204.88	205.05	202.81	203.89	203.89	5,975,900
Feb 15, 2024	204.12	206.55	203.40	205.33	205.33	5,309,100
Feb 14, 2024	205.95	206.58	202.21	203.38	203.38	6,503,000
Feb 13, 2024	206.90	207.81	202.33	204.46	204.46	8,263,600
Feb 12, 2024	208.70	209.80	207.60	209.33	209.33	4,077,400
Feb 9, 2024	209.77	211.44	207.90	209.20	209.20	4,349,700
Feb 8, 2024	212.40	213.10	208.72	209.22	209.22	5,787,700
Feb 7, 2024	208.76	213.77	207.99	211.92	211.92	7,747,700
Feb 6, 2024	206.02	210.64	203.89	208.58	208.58	7,556,900
Feb 5, 2024	204.64	207.34	202.00	206.63	206.63	8,682,500
Feb 2, 2024	209.06	209.54	206.35	209.38	209.38	6,271,200
Feb 1, 2024	213.84	214.63	206.81	209.81	209.81	10,679,200
Jan 31, 2024	204.92	213.77	203.25	211.04	211.04	22,409,400
Jan 30, 2024	203.65	203.98	199.14	200.44	200.44	13,321,200
Jan 29, 2024	206.06	207.04	203.85	205.19	205.19	7,535,400
Jan 26, 2024	203.08	206.75	203.00	205.47	205.47	9,911,200
Jan 25, 2024	208.20	208.73	198.32	201.88	201.88	22,112,500
Jan 24, 2024	209.83	217.59	209.36	214.13	214.13	15,119,100
Jan 23, 2024	215.35	216.85	211.13	211.50	211.50	9,076,900
Jan 22, 2024	213.07	217.00	212.36	214.93	214.93	10,760,800
Jan 19, 2024	210.89	215.16	209.23	215.02	215.02	14,320,200
Jan 18, 2024	205.64	213.04	203.32	211.61	211.61	20,046,800
Jan 17, 2024	202.63	206.30	201.65	203.06	203.06	20,140,100
Jan 16, 2024	210.07	210.98	199.50	200.52	200.52	35,290,000
Jan 12, 2024	219.97	222.07	217.04	217.70	217.70	11,268,800
Jan 11, 2024	228.07	228.28	222.62	222.66	222.66	11,830,500
Jan 10, 2024	226.90	231.61	226.64	227.84	227.84	12,883,700
Jan 9, 2024	225.66	228.79	223.20	225.76	225.76	20,687,500
Jan 8, 2024	228.00	233.85	225.79	229.00	229.00	40,730,400
Jan 5, 2024	245.04	250.19	245.04	249.00	249.00	3,846,200
Jan 4, 2024	244.58	248.28	244.18	244.94	244.94	5,170,700
Jan 3, 2024	248.32	250.13	243.00	243.91	243.91	7,219,900
Jan 2, 2024	257.28	258.59	250.87	251.76	251.76	5,815,200
Dec 29, 2023	260.67	262.22	259.56	260.66	260.66	3,681,900
Dec 28, 2023	261.53	262.10	257.68	260.35	260.35	5,096,400
Dec 27, 2023	262.63	264.66	260.90	262.10	262.10	3,484,900
Dec 26, 2023	259.80	263.76	259.54	262.79	262.79	3,938,600
Dec 22, 2023	261.83	262.84	259.20	260.44	260.44	4,430,500
Dec 21, 2023	265.95	267.54	260.19	262.02	262.02	6,487,200
Dec 20, 2023	262.25	266.13	260.15	260.25	260.25	5,151,700
Dec 19, 2023	261.04	265.34	260.80	263.51	263.51	6,089,500
Dec 18, 2023	260.63	263.13	260.25	260.41	260.41	6,140,100
Dec 15, 2023	255.70	265.52	255.70	264.27	264.27	14,989,000
Dec 14, 2023	250.91	257.12	249.26	256.24	256.24	7,883,600
Dec 13, 2023	249.10	251.87	247.53	250.91	250.91	5,513,400
Dec 12, 2023	247.95	250.57	247.40	248.63	248.63	5,719,200
Dec 11, 2023	243.50	248.08	243.31	248.08	248.08	7,545,000
Dec 8, 2023	237.32	244.70	237.32	244.70	244.70	7,164,400
Dec 7, 2023	236.90	238.30	230.00	237.33	237.33	6,363,700
Dec 6, 2023	234.78	239.23	234.43	236.89	236.89	4,740,600
Dec 5, 2023	233.54	234.74	231.49	234.16	234.16	3,589,800
Dec 4, 2023	231.30	234.94	230.07	234.87	234.87	5,228,500
Dec 1, 2023	231.77	235.38	231.38	233.87	233.87	6,951,000
